,UNKNOWN,FES,ABL2,BMX,TEC,IGF1R,TYK2,ZAK,STK39,STK24,MST4,MAP4K4,TNIK,SLK,STK10,PAK4,PKMYT1,CSNK1G1,CSNK1G3,VRK1,GSG2,PLK4,TLK1,ADRBK1,ADRBK2,GRK5,PDPK1,RPS6KA1,RPS6KA6,AKT3,STK38L,CDC42BPB,STK32A,CHEK2,DCLK1,PHKG2,CAMK2A,STK33,SNF1LK2,PRKAA1,PRKAA2,STK17A,STK17B,PIM2,PIM3,PIM1,NEK1,NEK2,CAMKK2,STK16,GAK,AAK1,CDK9,CDK2,PCTK2,MAPK8,MAPK13,MAPK3,MAPK7,CDKL1,SRPK1,SRPK2,CLK3,CLK4,DYRK1A,DYRK2,CDC7,TTK,GUCY2D
GW445012X,6.968934225,0.3,2.88,1.57,-0.48,-0.17,0.87,-1.21,-1.02,-0.81,-0.08,0.6,0.42,-0.86,0.52,-0.22,-0.02,0.45,-0.29,0.28,-0.26,-0.35,-0.07,0.25,-0.02,1.48,-0.24,-0.3,-0.42,-0.66,-0.7,-1.11,-0.51,0.49,-0.04,-0.69,-0.24,0.15,-1.83,-1.35,0.87,-0.82,-0.95,0.25,0.7,0.69,-0.75,0.44,0.09,-0.1,1.5,-0.02,-0.25,-0.07,0.03,-0.14,-0.42,0.11,-0.33,-0.27,-0.05,-0.19,-0.4,0.45,0.36,0.26,-0.52,0.07,-0.46
GW445014X,5.074518116,0.28,2.86,0.59,-0.14,-0.06,1.62,-0.48,-0.68,-0.27,-0.12,3.56,0.75,-0.86,1,-0.2,-0.51,1.09,-0.4,0.28,-0.28,-0.42,-0.06,0.19,0.01,0.87,-0.38,-0.12,-0.19,-0.68,-0.65,-1.35,0.27,0.3,0.13,-0.58,-0.13,0.18,0.43,-0.56,1.17,-0.59,-0.48,0.66,1.37,0.68,-0.39,0,0.04,-0.02,0.49,0.2,-0.47,-0.16,-0.12,-0.07,-0.35,0.08,-0.28,-0.52,-0.18,-0.24,-0.3,0.82,0.37,0.5,-0.09,-0.22,-0.77
GW445015X,6.004504206,-0.03,0.8,0.47,-0.72,0.01,1.19,-0.88,-1.76,-0.58,0.26,-0.93,0.34,-0.23,-0.04,-0.05,-0.73,4.56,-0.12,0.29,0.37,1.26,0.2,0.2,-0.06,-0.66,-0.07,0.1,3.25,-0.27,0.03,-0.08,-0.13,,-0.29,-0.76,0.23,-0.32,2.92,0.41,0.67,-0.17,0.02,0.88,1.22,0.56,-0.4,0.28,-0.43,0.39,0.27,0.36,-0.12,-0.51,-1.07,4.4,-1.38,2.09,0,-0.59,0.01,-0.15,-0.6,0.45,0.93,0.4,-0.42,0.26,-0.09
GW445017X,2.577333245,-0.02,1.02,0.21,0.11,-0.17,-0.07,0.07,-1.12,-0.48,0.31,0.26,0.43,-0.3,-0.26,-0.04,-0.85,0.38,-0.04,0.37,0.25,0.29,0.1,0.11,0.01,-0.75,-0.12,0.06,-0.37,-0.22,0.14,0.46,-0.01,,-0.86,-0.85,0.19,-0.43,-0.08,0.17,0.85,-0.37,-0.08,0.66,1.05,0.54,0.36,0.16,-0.02,0.23,0.35,0.16,-0.05,-0.44,1.04,-0.15,-0.48,0.06,0.32,-1.02,-0.01,-0.15,-0.37,0.64,0.32,-0.14,-0.49,0.2,-0.04
GW450241X,2.026230377,-0.09,0.92,0.14,-1.04,-0.36,0.54,-0.85,-2.25,-0.79,-0.32,-0.54,0.18,-0.02,-1.24,-0.12,-1.5,-0.5,-0.4,0.14,-0.28,-0.78,-0.18,0.15,-0.38,-0.22,-0.68,-0.18,-0.08,-0.63,-0.19,-0.37,-0.72,,-1.14,-1.01,0.14,-0.44,-0.56,0.07,0.56,-1.54,-0.52,0.24,0.07,-0.05,-0.93,0.2,-0.47,0.18,-1.15,-0.44,-0.16,-1.04,1.13,-0.61,-0.83,-0.08,-0.29,-1.45,-0.16,-0.24,-0.73,-0.07,0.13,0.06,-1.26,-0.76,-0.65
GW458344X,4.919520435,0.71,0.89,2.05,-1.22,-0.57,0.16,-0.57,-0.68,0.02,-0.31,-0.03,0.87,,0.24,0.38,-1.69,-1.41,-0.36,0.3,-0.82,0.35,-1.58,0.21,-0.8,0.4,-0.22,-0.75,-0.44,-0.61,-1.82,-0.23,-0.41,-1.64,-0.89,-0.08,-0.15,-0.09,0.1,0.41,2.73,-0.61,0.48,-0.59,-0.01,-0.53,-0.45,1.61,-0.53,-1.32,0.25,-0.21,-0.55,-0.14,1.24,0.31,-0.19,-0.54,0.41,-0.5,-0.32,-0.18,-1.38,-3.4,-1.71,0.06,0.04,-0.65,-0.27
GW458787A,6.511947376,-0.01,0.84,2.15,0.41,-0.35,2,0.9,-0.49,1.08,2.34,0.76,0.16,0.65,2.56,0.69,,-1.18,-0.35,-0.66,2.96,1.96,0.9,-0.04,-0.14,-0.3,0.24,-0.9,-0.68,-1.1,0.16,-0.37,-0.12,,-2.9,-0.31,0.71,0.48,-0.42,0,0.92,0.27,1.26,1.41,0.66,1.36,-0.4,1.92,0.8,0.47,0.69,1.12,0.33,0.01,0.95,1.07,-0.19,-0.02,-0.37,-0.31,-0.7,-0.02,-0.94,0.8,0.97,0.53,1.25,1.02,-0.75
GW458787B,4.568425775,-0.01,0.84,2.15,0.41,-0.35,2,0.9,-0.49,1.08,2.34,0.76,0.16,0.65,2.56,0.69,,-1.18,-0.35,-0.66,2.96,1.96,0.9,-0.04,-0.14,-0.3,0.24,-0.9,-0.68,-1.1,0.16,-0.37,-0.12,,-2.9,-0.31,0.71,0.48,-0.42,0,0.92,0.27,1.26,1.41,0.66,1.36,-0.4,1.92,0.8,0.47,0.69,1.12,0.33,0.01,0.95,1.07,-0.19,-0.02,-0.37,-0.31,-0.7,-0.02,-0.94,0.8,0.97,0.53,1.25,1.02,-0.75
GW459057A,3.111214149,0.54,2.1,1.78,-0.26,-0.21,0.39,-0.73,0.11,0.53,0.67,-0.81,1.48,0.8,4.48,-0.12,-0.43,0.03,0.09,0.68,-0.08,0.05,0.01,0.37,-0.12,0.27,-0.19,0.09,-0.08,-0.1,-0.66,0.24,0.41,-0.02,-0.6,-0.7,-0.25,1.16,1.12,0.06,0.54,-0.55,0.7,0.11,0.12,-0.14,-0.34,3.28,-0.37,0.3,2.55,0.01,-0.04,0.08,0.27,-0.61,-0.09,0.29,-0.16,-0.21,-0.13,-0.26,0.2,-0.34,0.07,-0.23,-0.67,-0.4,0.13
GW461104A,4.89732943,-0.09,1.14,0.81,-0.04,-0.12,3.12,-0.08,0.26,1.62,1.54,-0.33,-1.46,,3.69,0.67,0.47,0.46,-0.3,-1.47,4.86,1.36,0.6,0.22,-0.26,1.37,0.38,0.71,0.71,0.18,0.45,-0.54,0.25,0.83,-0.04,0.64,0.22,0.33,1.47,-0.06,0.7,1.1,3.36,1.82,2.88,3.17,-0.41,1.06,0.69,1.14,3.93,1.6,0.77,0.15,-0.1,1.07,0.19,-0.17,-0.28,0.25,-0.61,-0.12,-0.48,2.86,1.76,2.67,1.42,1.5,-0.26
GW513184X,6.073392065,0.33,3.11,1.1,0.79,-0.18,4.79,1.39,1.5,2.35,4.55,2.6,1.9,1.51,4.15,3.09,0.19,1.96,0.35,0.49,0.38,7.36,0.81,0.05,-0.34,1.94,1.47,-0.1,0.46,-0.7,0.18,-1.41,-0.43,0.58,0.29,0.88,0.99,1.49,-0.7,2.13,4.26,3.27,5.67,1.25,2.05,1.42,-0.26,1.48,2.68,5,1.03,4.56,3.78,5.08,3.07,1.95,0.32,-0.02,-0.59,2.06,0.7,0.12,1.15,5.18,4.8,5.49,0.73,1.46,-0.22
GW549034X,0.614029277,0.01,-0.12,-0.37,-1,-0.47,-0.32,-0.49,-0.51,-0.06,-0.09,0.18,0.39,,0.26,1.04,-0.23,0.55,-0.15,0.05,1.22,2.11,0.22,0.49,-0.52,-0.49,0.26,-0.05,0.12,-0.23,0.29,0.11,-0.25,-0.47,0.23,-0.13,0.84,0.09,0.3,0.51,1.37,0.08,1.71,2.1,3.76,2.2,-0.42,0.18,0.19,0.85,-0.53,4.06,0.71,0.13,0.06,-0.21,-0.19,-0.32,-0.08,-0.59,-0.07,-0.07,-0.42,2.32,1.74,2.92,5.56,0.83,-0.84
GW549390X,0.830884235,0.96,2.65,0.86,0.06,0.37,0.01,0.6,0.86,1.1,-0.06,0.18,2.74,0.83,0.76,1.26,-0.02,1.91,0.38,1.11,0.41,0.3,1.34,-0.22,0.51,-0.68,1.32,1.59,-0.33,0.8,1.93,0.46,0.24,,-0.45,-0.14,1.66,0.96,-0.47,1.6,3.72,5.09,6.87,0.02,0.61,0.29,0.06,0.35,3.86,4.79,2.15,3.47,3.96,3.74,1.78,-0.04,0.24,0.41,0.26,-0.23,1.47,0.57,0.19,1.55,1.02,-0.16,-0.1,0.19,0.51
GW559768X,8.742796582,1.63,8.09,3.16,-0.32,-0.27,0.08,2.67,-0.83,-0.51,0.13,-0.21,0.33,1.13,0.57,2.07,0.59,1.67,0.53,0.51,1.29,-0.07,0.4,-0.06,0.03,2.34,-0.16,3.35,3.24,-0.17,0.38,0.2,1.77,,-0.18,-0.39,0.31,4.86,5.79,0.54,0.79,-0.69,0.02,0.37,0.51,0.02,-0.35,0.26,-0.19,3.41,5.87,-0.17,0.39,-0.55,0.03,-0.12,-0.41,0.19,0.05,-0.4,0.3,0.65,0.06,3,0.1,0.96,-0.37,-0.69,-0.55
GW561436X,1.967096863,0.13,1.18,0.09,0,0.19,0.13,0.07,0.71,-0.72,-0.26,0,5.84,,1.34,0.27,0.3,6.2,1.72,0.7,-0.18,0,0.02,-0.18,-0.24,0.43,-0.22,7.14,0.09,0.18,-0.61,0.43,1.41,-0.23,0.47,-0.12,-0.09,0.33,0.26,0.08,0.7,-0.37,-0.36,-0.05,-0.01,-0.05,-0.09,0.15,0.07,2.02,8.75,0.66,0.15,0.02,-0.01,-0.19,0.14,0.22,,-0.42,-0.14,0.13,-0.26,0.53,0.41,-0.36,1.65,1.06,-0.24
GW566221B,7.69225674,0.39,0.73,1.45,0.33,-0.33,1.55,-0.19,0.16,0.87,1.78,-1.8,0.92,1.12,3.84,0.73,,-0.49,-0.34,0.17,0.49,1.42,0.73,-0.13,-0.33,2.58,-0.02,0.04,0.02,0,0.05,-0.4,-0.16,6.07,-0.4,0.19,0.09,0.81,0.38,0.45,0.74,1.32,1.48,2.36,1.13,1.23,0.1,2.09,0.82,0.21,0.92,0.31,0.69,-0.09,0.9,0.9,-1.94,0.18,-0.42,0.87,0.53,0.4,0.26,0.97,0.59,-0.24,1.47,0.9,0.58
GW567808A,4.045169959,0.32,0.46,1.44,0.86,-0.18,1.09,-0.23,0.59,1.82,3.22,0.81,1.67,1.06,3.27,0.79,,-0.5,-0.66,0.67,1.17,2.16,1.96,-0.26,-0.17,0.7,-0.04,0.09,0.54,-0.44,0.41,0.42,-0.23,,-0.9,0.11,1.06,1.24,0.05,0.2,0.58,1.07,3.64,2.67,1.45,2.41,-0.13,2.07,1.14,0.41,0.29,0.39,0.05,-0.03,1.04,1.53,-0.08,-0.37,-0.4,0.23,1.43,0.82,0.19,1.48,0.57,0.25,0.89,1.15,0.01
GW568326X,3.335099689,-0.05,0.68,0.02,-0.4,-0.2,0.65,0.04,-0.19,-0.73,-1,-0.73,0.5,,0.2,0.05,-0.13,4.65,0.45,0.01,0.07,0.47,-0.17,0.09,-0.45,0.02,-0.24,3.18,4.39,0.03,-0.79,-1.12,-0.05,-0.34,0.48,-0.22,-0.09,0.65,2.08,-0.11,0.31,-0.94,-0.36,-0.52,0.17,-0.19,-0.12,0.22,0.05,1.07,4.55,0.3,-0.02,-0.04,-0.09,0.86,-0.39,-0.03,0,-0.38,-0.11,-0.05,-0.14,0.36,0.41,0.04,1.77,0.59,-0.39
GW568377B,5.420585246,0.28,0.69,0.86,0.13,-0.22,1.6,,-0.07,0.52,1.19,2.3,0.48,0.83,2.81,0.64,-0.73,-0.27,0.53,0.61,1.58,1.58,0.45,0.03,-0.17,1.64,0.03,0.01,-0.22,-0.07,0.28,-0.39,-0.05,3.43,-0.58,-0.03,0.16,1.08,-0.42,0.21,0.36,0.43,0.64,2.18,0.34,0.55,0.44,1.46,0.75,0.12,0.45,0.29,0.29,-0.17,0.4,0.7,-0.1,0.28,-0.43,0.29,0.41,0.53,0,0.7,0.03,-3,1.6,0.36,0.08
GW569293E,3.576207193,-0.31,0.02,-0.01,-1.01,-0.32,0.76,1.66,-0.92,-0.94,-1.34,-0.99,2.15,,0.93,0.16,-0.04,5.74,1.17,0.25,0.13,-0.44,-0.26,0.02,-0.44,0.05,-0.42,4.5,5,-0.14,-0.21,-1.7,0.28,-0.76,0.18,-0.36,-0.09,0.16,4,-0.28,0.04,-1.08,-0.58,-0.45,-0.22,-0.8,-0.16,0.64,-0.48,0.7,5.63,0.01,0.01,-0.02,0.14,4.31,-0.74,1.19,-0.45,-0.59,-0.19,0.12,-0.45,0.96,-0.66,-0.09,2.5,0.39,-0.79
GW572399X,1.767900907,-0.74,4.19,0.09,-0.73,-0.83,0.83,-0.96,1.14,1.92,2.4,0.67,3.07,1.18,1.04,0.87,-0.6,0.78,-0.69,-0.19,-0.02,3.83,3.85,0.41,-0.64,0.4,0.43,0.28,0.34,-1.08,0.86,-0.19,-0.79,0.36,-0.59,1.06,1.41,0.44,4.67,1.99,4.86,7.5,8.23,1.46,1.62,0.6,-0.25,1.5,2.93,7.16,1.22,2.48,2.62,9.32,3.99,2.22,0.3,-0.05,-0.19,0.77,0.5,0.39,0.57,2.75,1.75,3.58,-0.48,1.91,-0.87
GW572401X,8.036864324,-0.23,3.89,0.71,-0.26,0.02,0.14,-0.23,-0.06,0.06,-0.28,0.6,1.08,,2.19,4.61,-0.36,0.33,-0.34,-0.6,-0.31,7.59,0.02,0.25,-0.24,-0.31,0.05,0.3,-0.09,-0.07,-0.53,-1.29,-0.64,-0.14,0.1,0.8,3.29,1.62,3.16,1.14,2.21,1.2,-0.07,0.07,0.88,0.84,-0.1,0.09,2.92,7.25,2.53,1.04,2.83,2.53,2.1,1.84,0.16,-0.01,0.04,-0.54,0.8,0.47,1.11,5.54,1.35,2.26,0.76,0.39,-0.08
GW572738X,0.098326093,0.1,0.2,0.12,-0.33,-0.14,-0.05,-0.9,-1.08,-0.21,-0.01,1.97,0.19,-1.2,-0.46,-0.18,-0.61,-0.07,-0.27,0.06,-0.14,-0.58,0.11,0.22,-0.04,0.87,-0.38,0.05,-0.12,-0.39,-0.7,-1.57,-0.55,0.41,0.06,-0.68,-0.18,0.19,-0.6,-1.63,0.41,-0.93,-0.49,0.26,0.35,0.24,-0.66,-0.38,0.16,-0.09,-1.34,-0.04,-0.1,-0.03,0.12,0.56,-0.38,0.11,-0.46,0.03,0.24,-0.08,-0.48,0.93,1.06,0.05,-0.18,0.21,-0.67
GW574782A,4.798966682,0.69,0.63,0.06,0.49,-0.18,0.35,-1.45,1.87,1.68,3.88,0.25,0.63,0.13,-0.22,1.46,-14.32,-0.32,-0.57,-0.4,0.08,2.77,0.45,-0.1,-0.02,0.8,0.29,-1.13,-0.87,-1.69,-0.4,0.76,-0.69,,-1.2,0.1,1.42,0.79,0.44,-0.71,0.37,0.71,3.5,2.67,1.89,3.14,-0.67,2.04,1.69,0.62,-0.05,0.48,1.03,0.38,2.1,0.55,-0.03,-0.55,-0.4,0.18,0.13,0.4,-0.64,0.73,0.56,0.18,0.31,0.36,-0.07
GW574783B,6.968934225,1.07,0.76,2.51,1.24,0.08,1.03,0.45,1.85,,3.16,-1.72,1.69,1.87,6.66,2.18,0.87,-0.08,-0.31,0.18,0.78,2.58,1.03,-0.34,-0.23,4.25,0.57,0.22,0.07,0.33,0.24,0.64,-0.26,4.04,-1.12,0.51,0.99,1.76,0.74,1.15,0.66,1.24,3.59,2.76,1.05,2.54,0.53,4.28,1.02,0.38,1.72,0.75,1.22,0.72,1.81,1.59,-0.19,0.26,-0.35,1.65,1.85,1.18,0.61,1.42,1.49,-3.67,1.85,0.3,0.69
GW575533A,3.237860987,0.55,5.32,0.88,-0.07,0.14,1.18,-0.35,1.12,1.85,1.7,-0.74,2.82,1.84,2.5,3.26,-0.66,0.69,-0.03,0.51,0.32,5.82,0.68,0.47,0.19,-0.47,1.88,0.78,-0.14,-0.09,3.02,0.01,-0.32,1.61,-0.2,2.07,2.85,2.27,2.63,2.3,6.98,6.91,8.77,0.25,1.27,0.18,0.44,1.2,5.61,8.12,2.91,7.22,3.45,5.05,1.96,3.11,0.41,0.23,0.39,1.7,0.29,-0.12,0.03,2.25,2.56,3.57,0.26,2.42,-0.61
GW575808A,6.779492614,2.6,5.13,2.8,-0.08,0.13,-0.02,0.09,0.8,1.44,0.37,0.23,1.96,,3.71,2.47,0.87,1.09,0.78,-0.24,0.74,0.21,0.79,-0.33,-0.63,-0.29,1.07,1.03,0.68,0.81,0.06,1.15,0.05,1.99,0.82,0.62,0.55,6.04,0.32,2.04,3.81,1.12,4.78,0.36,1.78,0.78,0.49,0.44,1.77,6.75,5.72,1.1,1.17,3.77,0.15,-0.78,1.6,0.22,0.18,0.65,-0.04,0.09,0.7,2.96,0.42,-0.32,2.04,2.36,-0.17
GW576484X,4.127310062,0.56,0.41,0.39,0.34,-0.16,-0.32,-0.28,0.62,1.75,3.02,0.22,0.56,,0.77,1.51,0.92,-0.43,-0.33,-1.15,1.7,0.72,1.99,-0.12,-0.5,-0.18,0.41,-0.24,0.37,-0.36,-2.11,-0.78,-0.72,1.45,1.34,0.99,0.64,0.2,0.38,-0.07,0.72,-2.74,4.33,3.8,1.95,2.96,0.17,2.64,2.57,0.56,0.9,1.42,0.9,0.6,1.23,1.01,0.13,-0.27,0,-0.16,0.36,1.19,-0.45,0.7,1.2,-0.36,1.53,1.97,0.21
GW576609A,4.478724778,0.95,0.39,2.1,-0.09,-0.21,0.42,-0.45,0.55,1.65,2.39,-2.01,0.68,1.44,2.99,1.54,0.74,2.45,-0.4,-0.74,0.22,1.1,-0.34,-0.65,0.07,0.59,0.26,-0.32,0.28,0.25,0.39,0.05,-0.26,1.38,-0.5,-0.08,0.68,0.31,0.67,-0.04,0.02,0.39,1.94,2.18,0.6,1.71,0.29,4.55,1.04,-0.55,0.9,0.47,0.67,0,1.77,1.14,-0.33,0.19,-0.41,0.41,-0.18,-0.18,0.61,0.77,0.07,-2.97,1.67,0.52,-0.05
GW576609B,5.779389234,0.95,0.39,2.1,-0.09,-0.21,0.42,-0.45,0.55,1.65,2.39,-2.01,0.68,1.44,2.99,1.54,0.74,2.45,-0.4,-0.74,0.22,1.1,-0.34,-0.65,0.07,0.59,0.26,-0.32,0.28,0.25,0.39,0.05,-0.26,1.38,-0.5,-0.08,0.68,0.31,0.67,-0.04,0.02,0.39,1.94,2.18,0.6,1.71,0.29,4.55,1.04,-0.55,0.9,0.47,0.67,0,1.77,1.14,-0.33,0.19,-0.41,0.41,-0.18,-0.18,0.61,0.77,0.07,-2.97,1.67,0.52,-0.05
GW576924A,4.045169959,0.47,0.46,1.58,0.3,-0.53,-1.19,-0.36,0.31,0.6,1.73,-0.28,-0.84,,-1.47,0.9,-0.53,-1.03,-0.75,-1.4,-0.01,0.92,0.39,-0.1,-0.9,1,0.13,-0.8,-0.93,,-1.49,-0.89,-0.33,-0.6,-1.18,0.18,0.22,0.56,0.05,-1.34,0.5,0.03,2.35,1.87,0.32,1.06,-0.47,2.73,1.16,-0.14,0.22,2.85,0.25,-0.27,0.98,1.5,-0.16,-0.62,-0.98,0.05,-2.56,-0.08,-1.44,-1.67,-0.15,0.12,1.39,1.62,-1.67
GW577921A,2.59455521,0.37,0.81,-0.15,-0.9,-0.3,0.17,-0.63,-0.15,-0.21,0.3,1.14,1.76,0.45,1.38,0.36,-1.39,0.11,-0.47,0.21,0.03,2.71,0.47,0.25,0.12,-0.47,-0.12,-0.08,0.13,-0.55,1.23,-0.37,-0.13,,-2.42,0.35,1.29,0.95,1.56,0.95,2.13,4.06,4.72,-0.1,0.5,0.22,-0.36,0.17,3.09,2.51,0.53,2.3,0.24,0.22,0.15,0.34,-0.51,0.09,-0.33,-0.23,0.31,-0.09,-0.52,1.22,0.67,0.43,-0.84,0.33,-0.63
GW578748X,5.918394383,1.17,3.34,2.41,-0.01,0.65,7.71,0.63,1.56,0.8,3.38,0.42,1.22,0.87,2.5,1.34,-0.17,3.12,1.69,1.14,5.65,7.31,1.71,1.14,0.04,1.83,2.69,1.72,0.65,-0.09,2.18,-0.89,0.75,3.8,0.7,1.77,1.33,3.44,-1.49,3.71,5.74,5.79,7.34,2.59,4.59,3.05,1.21,1.72,2.83,6.22,3.78,6.42,1.58,2.52,0.68,1.77,0.22,0.35,0.25,0.09,0.6,0.09,1.58,7.19,4.8,7.34,1.23,1.5,-0.37
GW580496A,5.854140065,0.59,0.75,1.9,1.39,0,0.8,1.04,1.84,1.68,3.1,-1.69,1.62,1.77,5.2,1.85,0.51,-0.18,-0.32,0.07,0.93,2.46,1.06,-0.36,-0.24,4.33,0.39,-0.42,-0.62,0.1,0.19,0.7,-0.3,3.16,-1.31,0.63,0.76,1.99,0.86,0.28,0.5,1.07,3.1,3.51,0.74,2.31,-0.12,4,1.36,0.06,1.4,0.73,0.93,0.41,2.26,1.73,-0.14,0.2,-0.31,1.43,1.56,1.38,0.51,1.37,1.5,-2.15,0.63,1.09,0.51
GW580509X,6.917268331,0.35,6.41,1.68,-0.37,0.22,0.72,-0.29,0.16,0.46,0.1,0.6,1.24,1.96,2.48,3.18,-0.01,-0.08,0.24,0.58,0.53,7.75,0.5,0.1,-0.13,0.72,0.02,0.24,-0.07,-0.57,-0.65,0.29,-0.07,0.11,-0.38,-0.09,2.89,2.77,6.45,1.44,3.25,0.45,0.43,1.54,1.85,1.54,-0.12,0.26,2.8,6.53,3.09,1.05,2.5,0.71,0.31,2.13,-0.34,-0.62,-0.26,-0.01,1.22,0.84,1.97,7.5,3.29,5.79,2.15,0.81,0
GW581744A,1.234538721,0.36,0.7,0.07,-0.38,-0.09,1.76,1.45,-0.3,0.91,-0.5,-0.45,3.38,3.92,2.13,-0.01,-0.45,6.91,2.75,1.08,0.01,0.2,0.37,0.29,0,0.15,-0.13,7.95,7.51,-0.14,-0.8,0.09,1.84,0.13,-0.33,-0.88,0.05,0.55,5.09,-0.02,0.93,-0.34,-0.18,0.18,0.37,0.28,-0.24,0.55,-0.13,1.55,6.56,2.34,0.13,-0.13,0,6.16,-1.08,0.92,-0.08,-0.31,0.12,-0.16,-0.1,1.49,-0.71,0.43,1.41,0.62,0.19
GW581744X,3.5245413,0.36,0.7,0.07,-0.38,-0.09,1.76,1.45,-0.3,0.91,-0.5,-0.45,3.38,3.92,2.13,-0.01,-0.45,6.91,2.75,1.08,0.01,0.2,0.37,0.29,0,0.15,-0.13,7.95,7.51,-0.14,-0.8,0.09,1.84,0.13,-0.33,-0.88,0.05,0.55,5.09,-0.02,0.93,-0.34,-0.18,0.18,0.37,0.28,-0.24,0.55,-0.13,1.55,6.56,2.34,0.13,-0.13,0,6.16,-1.08,0.92,-0.08,-0.31,0.12,-0.16,-0.1,1.49,-0.71,0.43,1.41,0.62,0.19
GW583373A,6.362445714,0.32,1.24,1.45,0.7,-0.1,1.41,0.86,-0.23,1.9,2.79,0.8,-0.18,1.42,1.05,0.34,-1.11,0.55,-0.62,0.93,1.01,-0.19,0.55,-0.28,-0.36,-0.5,0.71,-0.06,-0.36,-0.74,1.13,-0.44,-0.44,,-1.1,0.06,0.38,2.42,0.21,0.54,0.69,1.55,2.41,2.01,1.01,1.77,-0.85,4.25,1.22,1.24,0.79,1.97,2.08,1.13,0.42,0.06,-0.25,-0.54,-0.99,-0.55,0.63,-0.31,-0.35,0.63,1.06,0.79,1.18,1.9,-0.64
GW589961A,5.418957409,1.25,2.77,0.75,-0.53,0.79,3.69,-0.63,3.77,8.04,8.76,4.98,6.69,1.2,3.31,2.52,-0.16,6.13,2.41,7.97,5.29,9.19,4.46,0.95,-0.13,4.8,5.76,3.87,1.93,0.12,7.75,0.63,0.44,4.29,2.61,4.51,3.96,10.4,4.83,4.78,10.98,11.41,14.2,2.59,3.32,2.82,0.49,3.22,4.25,9.57,3.99,9.22,4.56,11.71,4.31,4.73,1.74,2.89,2.27,3.05,1.86,1.01,2.34,9.64,5.93,7.63,4.5,8.39,-0.39
GW607049A,0.96543573,1.72,3.33,1.43,1.94,-0.15,-0.47,7.68,2.31,1.91,3.18,1.34,1.76,,11.09,1.67,1.48,0.13,-0.36,0.85,1.13,4.7,1.61,0.1,-0.32,1.46,1.3,0.48,1.53,0.33,0.05,1.56,-0.55,0.7,1.42,1.67,1.25,2.85,1.55,2.61,3.66,1.5,4.57,3.49,2.49,3.09,0.97,2.32,1.54,3.03,1.21,1.07,2.53,1.39,1.28,3.45,1.54,-0.42,0.25,1.35,6.29,1.72,-0.24,2.44,4.36,1.74,1.04,3.31,0.63
GW607049C,5.815062595,1.08,5.5,1.23,1.61,0.43,1.21,0.4,0.98,1.05,2.29,1.87,1.66,6.38,16.65,1.63,-1.04,-0.12,-0.85,0.88,0.16,4.72,1.72,0.06,-0.09,3.59,0.66,0.18,1.61,-0.14,0.57,1.1,-0.34,1.47,-0.31,1.13,0.91,4.45,0.7,0.49,1.64,1.72,3.7,3.69,1.77,2.79,0.32,1.74,0.29,0.82,0.81,0.35,1.74,1.59,1.6,2.11,2.48,-0.09,-0.38,2.38,7.45,1.65,0.7,2.71,2.53,-3.56,1.51,1.87,1.5
GW607117X,-1.441541022,0.15,-0.08,0.06,-0.76,-0.28,-0.16,0.12,-0.15,0.09,0.36,0.15,0.1,,-0.08,0.33,-0.42,-0.24,0.07,0.32,-0.21,-0.09,0.22,0.5,-0.27,-0.19,-0.08,0.01,0.13,-0.18,-0.06,-0.83,-0.36,-0.32,0,0.03,0.14,-0.07,0.02,-0.11,0.18,-0.6,0.76,0.3,0.38,0.08,0.11,-0.07,-0.16,0.23,-0.43,0.25,0.06,0.06,0.14,0.32,-0.15,-0.22,-0.28,-0.02,0.07,-0.03,-0.21,0.85,0.89,0.16,-0.34,0.23,-0.28
GW612286X,6.138193222,2.89,3.81,2.48,-0.62,2.46,3.25,-0.21,0.82,2.48,0.8,1.14,2.29,4.73,7,3.86,-0.63,0.37,0.25,0.39,-0.15,11.09,0.91,0.4,-0.25,0.94,1.47,0.8,0.72,-0.31,1.37,-0.09,0.5,2.3,-0.08,-0.18,0.76,5.07,4.56,0.98,4.06,0.26,5.81,1.1,3.24,1.62,0.51,1.92,4.99,9.31,3.22,6.98,1.52,1.02,0.38,5.34,2.08,0.68,0.08,0.34,0.24,0.11,1.46,1.98,1.64,3.23,1.33,2.16,-0.32
GW615311X,4.402861496,-1.01,-0.5,-0.04,0.09,-0.89,-1.76,-1,-0.27,1.71,1.45,-3.54,-0.71,0.14,-1.08,-0.39,0.69,-0.99,-0.8,-0.65,-1.74,0.32,0.05,-0.46,0.01,0.5,0.04,-0.38,-1.03,-0.68,-0.44,-0.18,-0.12,,-0.99,-0.13,-0.41,-0.26,-0.7,-0.92,-0.33,0.07,0.94,1.77,0.66,1.16,-0.42,0.71,-0.93,-0.93,-0.2,0.17,0.33,-0.13,-0.04,0.47,-1.42,-2.26,-0.61,-2.15,-0.16,-0.51,-0.54,0.62,1.01,-0.41,0.04,-0.55,-0.82
